id,date,ticket,title,project,comments,user,of,time
185,2014-08-21,1007,"refactoring job db model",SysFera,"fixed bugs vishnu",r,1257,4.0
282,2014-08-21,896,"[VISHNU] Enlever les ID générés en base de données et en faire une config",SysFera,"N/A",keo,1257,1.0
287,2014-08-21,1021,"Formation LMS",SysFera,"N/A",keo,1252,7.0
358,2014-08-21,964,"Congés",SysFera,"N/A",absila,60,7.7
169,2014-08-21,1002,"FMS : pb avec le thème",ROMEO,"N/A",augustin,1254,1.0
177,2014-08-21,1002,"FMS : pb avec le thème",ROMEO,"N/A",augustin,1254,1.0
223,2014-08-21,872,"Création de la CLI",BioAster,"N/A",olivier,1233,8.0
109,2014-08-22,964,"Congés",SysFera,"N/A",phi,60,7.7
170,2014-08-22,1014,"[WB] Les liens ""select group"" de globalProjectRole ne fonctionnent pas",SysFera,"N/A",augustin,1254,0.2
171,2014-08-22,944,"[WB] Internationnaliser activity report",SysFera,"Corrections mineures suite aux retours de Kevin, sur la PR et 'autour'.",augustin,1254,0.8
179,2014-08-22,827,"[WB] user/list ne prends pas en compte offset et max",SysFera,"On étend encore la recherche avancée, cette fois à projectAdmin",augustin,1254,1.0
180,2014-08-22,1018,"[WB] Problème d'accès à une application",SysFera,"N/A",augustin,1254,1.0
181,2014-08-22,1020,"[WB] Contraintes entre ProjectRole et ProjectMember",SysFera,"N/A",augustin,1254,1.0
